Position,"Track Name",Artist,Streams,URL
61,Rompe,Ecko,34770,https://open.spotify.com/track/3oNoc3Gj5amFZ2QYOTJoAK
62,"Apaga el celular","Lit Killah",34268,https://open.spotify.com/track/7BhCvFVZwe04hLpNutqTdg
63,"Rolling Stone",Ecko,34245,https://open.spotify.com/track/245sMgdD4VXs2GqDpTdq2i
64,"God's Plan",Drake,33311,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
65,"Noche Complicada",Frijo,33262,https://open.spotify.com/track/4f9vS74fLCma9Tc93iTQbR
66,"A Partir De Hoy","David Bisbal",33046,https://open.spotify.com/track/1FMNuRMIcPD6PDQGoi5Ifn
67,Messi,"Neo Pistea",32695,https://open.spotify.com/track/3wcTpbJfzaQ3MHt22ZJgqm
68,"No Es Justo","J Balvin",31885,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
69,Calentita,Bryatigo,31805,https://open.spotify.com/track/7E8G7hoSk49VNuAbdSFiwo
70,IDGAF,"Dua Lipa",31520,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
71,"Suena El Dembow","Joey Montana",31355,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI
72,Mamita,CNCO,31325,https://open.spotify.com/track/71GAvRsilpo9pqd0vYn8Mo
73,"Luna Llena","Paulo Londra",31262,https://open.spotify.com/track/1kK7yrknQvA2wEU5zyG41m
74,"Me Rehúso","Danny Ocean",31076,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
75,"I Like It","Cardi B",30662,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
76,"Shape of You","Ed Sheeran",30558,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
77,FRIENDS,Marshmello,29793,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
78,"Robarte un Beso","Carlos Vives",29734,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k
79,Q.E.P.D,Wolty,29533,https://open.spotify.com/track/0VaGR19qdoi0tf2EbTY3yN
80,"New Rules","Dua Lipa",29494,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
81,Rockstar,Duki,28730,https://open.spotify.com/track/5DQGkXXLiOhf5cKqIyWh5L
82,"In My Blood","Shawn Mendes",27487,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
83,Perfect,"Ed Sheeran",27258,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
84,"Como Mirarte","Sebastian Yatra",27122,https://open.spotify.com/track/0CXEPVeQDLgDBfvcsQpXq1
85,"La Vida Sin Ti","Piso 21",26808,https://open.spotify.com/track/1RvL7eHoeUolnQbWm2Hnba
86,SUTRA,"Sebastian Yatra",26787,https://open.spotify.com/track/0lTYnxJdC68v0oXd5xolxY
87,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",26707,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
88,"Báilame - Remix",Nacho,26519,https://open.spotify.com/track/4l3xGFwoTinvYxsePytOOf
89,"Back To You","Selena Gomez",26144,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
90,"Mi Gente","J Balvin",26005,https://open.spotify.com/track/7COfe3P7KgfwDwIRB8LIDw
91,"Me Tiene Mal","Paulo Londra",25712,https://open.spotify.com/track/5BHiSQqlKWKoSmASzJTrVg
92,Rebota,Ecko,25710,https://open.spotify.com/track/6V6SZ4JbgtGF8owOpUqOah
93,Fiebre,"Ricky Martin",25147,https://open.spotify.com/track/0oFqlgK2LJ9eMlpGBCmRvf
94,Mojaa,Bhavi,24888,https://open.spotify.com/track/1XT4N8ostsFZcZNDio0jWL
95,Creo,Callejeros,24888,https://open.spotify.com/track/5Bi9Cq5oVFy1OtUgecbegZ
96,Oncemil,"Abel Pintos",24543,https://open.spotify.com/track/3y5ahYM9zwyOCt3mieZ0PZ
97,Princesa,TINI,24496,https://open.spotify.com/track/6JpjnU0v7J3r7iHcWxLo6P
98,"Que Va","Alex Sensation",24420,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O
99,Mayores,"Becky G",24298,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
100,Dorado,Ecko,24159,https://open.spotify.com/track/3J4cbpVuuo8sdLWcEajRA3
101,"Nunca quise",Intoxicados,24146,https://open.spotify.com/track/0ZAJ660VP57lLK4U7NlGOy
102,"FAKE LOVE",BTS,24131,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
103,Touchdown,"Kidd Keo",23861,https://open.spotify.com/track/1g2pomnU3K9f0f5wW4k0N0
104,"Ave Maria","Eladio Carrion",23819,https://open.spotify.com/track/2WTlDPEALl7cVlEVyXbxCb
105,"Hello Cotto",Duki,23729,https://open.spotify.com/track/5lqpuhM99nuXOncjZyjXbf
106,Dicen,"Matt Hunter",23496,https://open.spotify.com/track/4cfoVJxpHqUqTvBrG1RTyi
107,"Dime Si Te Acuerdas","Bad Bunny",22940,https://open.spotify.com/track/49VSioK272TASR4r9vRTuP
108,"Spaghetti del Rock",Divididos,22762,https://open.spotify.com/track/6rg1MBZqggsQ5olFGTw0rr
109,Crimen,"Gustavo Cerati",22743,https://open.spotify.com/track/3oqWr0jDWNXxWufNogGREp
110,"Bella y Sensual","Romeo Santos",22546,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3
111,"B.U.H.O (feat. Duki & Klave)",Midel,22411,https://open.spotify.com/track/6F9BrSf6kqJkV6Uyq589uj
112,"Escápate Conmigo",Wisin,22389,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc
113,Hielo,"Daddy Yankee",22189,https://open.spotify.com/track/2HBycDgM5FIOUZFewSTUgp
114,Atrapado,"Seven Kayne",22045,https://open.spotify.com/track/0S2Sjnhbeh9wdimTzXBc0L
115,Havana,"Camila Cabello",21969,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
116,"Amantes de una Noche","Natti Natasha",21638,https://open.spotify.com/track/2iCOdoyDmWG3hWkbtH1KB2
117,"Felices los 4",Maluma,21522,https://open.spotify.com/track/1RouRzlg8OKFeqc6LvdxmB
118,"La Modelo",Ozuna,21399,https://open.spotify.com/track/2m2ZGfJcs3lHWNPzhWH3XH
119,Guapo,Duki,21202,https://open.spotify.com/track/5VRi0SxkLZmwPOibQmMBiS
120,Pineapple,"Karol G",21179,https://open.spotify.com/track/24snQ8Ew7aIKYCt0ulXHvx
121,"Cámara Lenta","Paulo Londra",21150,https://open.spotify.com/track/0DFxA6i4yu8AORcdPrDEmd
122,Personalmente,"Las Pelotas",20829,https://open.spotify.com/track/7q7XFO9av9VpNJSXKJwJxD
123,"Better Now","Post Malone",20454,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
124,Machika,"J Balvin",20387,https://open.spotify.com/track/7FnHUsFRTMg8VYteFKj3xL
125,Traicionera,"Sebastian Yatra",20309,https://open.spotify.com/track/4Ft0391aLVNtCPPseh98lp
126,"Una Lady Como Tú","Manuel Turizo",20220,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
127,"Devuélveme El Corazón","Sebastian Yatra",20138,https://open.spotify.com/track/7etlF1zMxJbiaeQrXYh0PY
128,Asesina,Brytiago,20123,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
129,"Déjate Llevar","Juan Magán",19796,https://open.spotify.com/track/3xWEI23MLJrD0dpDcDUTW6
130,"Una Vez Más",Numa,19618,https://open.spotify.com/track/6zqE7wm7N9iHXWpX7iFc5z
131,Believer,"Imagine Dragons",19583,https://open.spotify.com/track/7Izh7zLJGw1Nscd62Exxj4
132,"Havana - Remix","Camila Cabello",19404,https://open.spotify.com/track/3whrwq4DtvucphBPUogRuJ
133,"Me Gusta","Ciro y los Persas",19242,https://open.spotify.com/track/3pMo77B4r1NwwIK78lO4xf
134,"Le Encanta","Juan Magán",19187,https://open.spotify.com/track/5MucM2zqn6ugfL7jQdhf0s
135,Peligrosa,"J Balvin",19130,https://open.spotify.com/track/3Nkqp3NSGWMXVVO08zGpN7
136,"Youth feat. Khalid","Shawn Mendes",19026,https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z
137,"Pasos Al Costado",Turf,18620,https://open.spotify.com/track/7upAH0ezzsThyvr33YKn4u
