Position,"Track Name",Artist,Streams,URL
58,"Feel It Still","Portugal. The Man",7796,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
59,"Mafiosa (feat. Caroliina)",Lartiste,7770,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
60,"I Miss You (feat. Julia Michaels)","Clean Bandit",7710,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
61,"Lucid Dreams","Juice WRLD",7549,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
62,"Jackie Chan",Tiësto,7458,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
63,"Échame La Culpa","Luis Fonsi",7442,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
64,"Don't Give In","Snow Patrol",7436,https://open.spotify.com/track/70F5cNOc2mvAtV03yRKwId
65,Believer,"Imagine Dragons",7316,https://open.spotify.com/track/7Izh7zLJGw1Nscd62Exxj4
66,1950,"King Princess",7300,https://open.spotify.com/track/0CZ8lquoTX2Dkg7Ak2inwA
67,TATI,6ix9ine,7236,https://open.spotify.com/track/6kp0inxIexxSiDJfWqq0ZL
68,Crazy,"Lost Frequencies",7212,https://open.spotify.com/track/2hqy4QmpvMeVz6zeolDeLQ
69,"Without You (feat. Sandro Cavazza)",Avicii,7193,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
70,Silence,Marshmello,7176,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
71,Dura,"Daddy Yankee",7007,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
72,"Walk It Talk It",Migos,6995,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
73,Familiar,"Liam Payne",6674,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
74,"Lil Craney","Kraantje Pappie",6487,https://open.spotify.com/track/6mhojtIauujcoXxlGsihh1
75,Wolves,"Selena Gomez",6468,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
