Position,"Track Name",Artist,Streams,URL
110,"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2",Diplo,4268,https://open.spotify.com/track/5mqzhMuUpvnMfwNz6iepmO
111,"Yes Indeed","Lil Baby",4240,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
112,"Ti amo",Veysel,4199,https://open.spotify.com/track/66bsUCJWoy09bpuljIXumf
113,"Acker jeden Tag",Ufo361,4188,https://open.spotify.com/track/4ImrjN1Xacm6O727yEgllS
114,"Oder nicht","Kontra K",4172,https://open.spotify.com/track/3nEfpEGlsuoUF2JijlcIvx
115,Kontrollieren,"RAF Camora",4146,https://open.spotify.com/track/1uGERQ2DVv7j9WSsWzOHVp
116,"Because I Had You","Shawn Mendes",4127,https://open.spotify.com/track/7hlhojpax9zg2FNdBLY5ox
117,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",4118,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
118,"River (feat. Ed Sheeran)",Eminem,4105,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
119,"Akzeptier'n uns nicht",Nimo,4089,https://open.spotify.com/track/1OI4HLyupGICkltDWopeBF
120,"Zusammen feat. Clueso","Die Fantastischen Vier",4057,https://open.spotify.com/track/35Ma4j9sPWhUAJ471naHV3
121,Dura,"Daddy Yankee",4036,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
122,"Genius - with Sia, Diplo & Labrinth",Sia,4033,https://open.spotify.com/track/73F87Sqh6jQWucOOvz1WFx
123,Paranoid,"Post Malone",4017,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
124,Colors,"Jason Derulo",4017,https://open.spotify.com/track/7wD6iRghe6SnKHkvHqpnC5
125,"Never Be the Same","Camila Cabello",3989,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
126,"Andere Liga","RAF Camora",3978,https://open.spotify.com/track/2NWZiXyRdKEolP8QrjBGmp
127,"Particular Taste","Shawn Mendes",3946,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU
128,Roli,Luciano,3936,https://open.spotify.com/track/7g469UXMGKeEBuxSXVbthJ
129,"Ball For Me (feat. Nicki Minaj)","Post Malone",3929,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
130,Breathe,"Jax Jones",3912,https://open.spotify.com/track/6tvQzeCPwOytDlBYCIOY0n
131,Corleone,"RAF Camora",3896,https://open.spotify.com/track/5muvgRZXDU9DBmKcOolqkw
132,"Perfectly Wrong","Shawn Mendes",3889,https://open.spotify.com/track/0UTHr20nqVFMoji8xYE9yl
133,"I'll Be There","Jess Glynne",3861,https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn
134,"Shape of You","Ed Sheeran",3861,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
135,"Jackie Chan",Tiësto,3852,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
136,Happier,"Ed Sheeran",3829,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
137,Kriminell,Azet,3760,https://open.spotify.com/track/1cDlVA17fnLm50ssTlS1ZQ
138,"Sturmmaske auf - Gold war gestern RMX",Kollegah,3740,https://open.spotify.com/track/5lIWCyAsVuAqugo4AWIdth
139,"Lonely Together (feat. Rita Ora)",Avicii,3719,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
140,"New Rules","Dua Lipa",3670,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
141,Queen,"Shawn Mendes",3653,https://open.spotify.com/track/17FyWGvqby379Q92sn23jW
142,Knöcheltief,Trettmann,3642,https://open.spotify.com/track/1qfM92o8OuFfWouqqfUBF8
143,"Hurt Somebody (With Julia Michaels)","Noah Kahan",3636,https://open.spotify.com/track/026IC4Vj88QjLlnIPDExhz
144,"Wake Me Up - Radio Edit",Avicii,3621,https://open.spotify.com/track/6g1NlCpW7fgqDnWbCCDrHl
145,"Let You Down",NF,3595,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
146,SAD!,XXXTENTACION,3584,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
147,"Sag Nix","RAF Camora",3574,https://open.spotify.com/track/0tW4YbVJ0z6CeQjYBFd09V
148,Body,"Loud Luxury",3560,https://open.spotify.com/track/43V1z6QToNNWNldV4FEG6r
149,Sanctuary,"Welshly Arms",3511,https://open.spotify.com/track/6s4E1Wsbq5X9eHWprIQXIB
150,Toy,Netta,3504,https://open.spotify.com/track/6n2eIfLj0wOOUkUfNmYzlh
151,"Found What I've Been Looking For","Tom Grennan",3468,https://open.spotify.com/track/4Hn5Jhz7OAdfTqrKZzN0tf
152,Everyday,Logic,3454,https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk
153,"Start Again (feat. Logic)",OneRepublic,3410,https://open.spotify.com/track/1Nj2oBISdFDSF8eDuXcALz
154,Rooftop,"Nico Santos",3390,https://open.spotify.com/track/637yH6Qs3wXdgjPjO7QGdr
155,Believer,"Imagine Dragons",3388,https://open.spotify.com/track/7Izh7zLJGw1Nscd62Exxj4
156,OTW,Khalid,3383,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
157,"Jennie (feat. R. City, Bori)","Felix Jaehn",3371,https://open.spotify.com/track/1iBOPEE6fIMsl7GMMcEyCF
158,Wolves,"Selena Gomez",3361,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
159,"Na Na Na","Capital Bra",3356,https://open.spotify.com/track/3xZAsF5FS5WgT4UDFXYJxx
160,Why,"Shawn Mendes",3337,https://open.spotify.com/track/1KXFoiT2n4QXRsFvhWNI4I
161,Nike,RIN,3323,https://open.spotify.com/track/2pakc4DqdwsBsCk7mDLfW8
162,"Mama / Baba","Moe Phoenix",3311,https://open.spotify.com/track/32yqEiiVrPjJLqtR1fMWbb
163,"Stay High 2.0",Ufo361,3304,https://open.spotify.com/track/6wLwtK3mkAq0zWPpV6QVbF
164,"The Night We Met","Lord Huron",3290,https://open.spotify.com/track/24MGEzm6xAO1nFgVVp37YI
165,"Feel Good","Felix Jaehn",3287,https://open.spotify.com/track/6ULQ6ZRc7JuVutRMy6gfgc
166,"Wie Falco",Nimo,3275,https://open.spotify.com/track/6ZyLo7sln0QFP7YXqgXCU8
